ObjectID,Artist,Nationality,Gender,Department,DateAcquired
95149,Christiane Baumgartner,German,Female,Prints & Illustrated Books,2005
95150,Sandile Goje,South African,Male,Prints & Illustrated Books,2005
95151,Sandile Goje,South African,Male,Prints & Illustrated Books,2005
95154,Norman Catherine,South African,Male,Prints & Illustrated Books,2005
95155,Robert Hodgins,South African,Male,Prints & Illustrated Books,2005
95156,Robert Hodgins,South African,Male,Prints & Illustrated Books,2005
95157,Diane Victor,South African,Female,Prints & Illustrated Books,2005
95160,Dan Rakgoathe,South African,Male,Prints & Illustrated Books,2005
95161,Marcel Dzama,Canadian,Male,Prints & Illustrated Books,2005
95162,"Kai Althoff, Abel Auer, Dorota Jurczak, Armin Krämer",German German Polish German,(Male) (Male) (Female) (Male),Prints & Illustrated Books,2005
95163,Ted Muehling,American,Male,Architecture & Design,2005
95164,Ted Muehling,American,Male,Architecture & Design,2005
95165,Konstantin Grcic,German,Male,Architecture & Design,2005
95167,Nomathemba Tana,South African,Female,Prints & Illustrated Books,2005
95168,Nomathemba Tana,South African,Female,Prints & Illustrated Books,2005
95169,Claudette Schreuders,South African,Female,Prints & Illustrated Books,2005
95170,Robert Ryman,American,Male,Prints & Illustrated Books,2005
95171,Ryan McGinness,American,Male,Prints & Illustrated Books,2005
95172,Claudette Schreuders,South African,Female,Prints & Illustrated Books,2005
95182,Zwelethu Mthethwa,South African,Male,Prints & Illustrated Books,2005
95183,Zwelethu Mthethwa,South African,Male,Prints & Illustrated Books,2005
95185,Jo Ractliffe,South African,Female,Prints & Illustrated Books,2005
95186,Grayson Perry,British,Male,Prints & Illustrated Books,2005
95187,Yun-Fei Ji,Chinese,Male,Prints & Illustrated Books,2005
95188,Paul Chan,Chinese,Male,Prints & Illustrated Books,2005
95189,Emil Nolde,German,Male,Prints & Illustrated Books,2005
95190,Romare Bearden,American,Male,Prints & Illustrated Books,2005
95194,Emil Nolde,German,Male,Prints & Illustrated Books,2005
95208,Norman Catherine,South African,Male,Prints & Illustrated Books,2005
95210,Daniel Buren,French,Male,Prints & Illustrated Books,2005
95215,"Herzog & de Meuron, Basel, Jacques Herzog, Pierre de Meuron",Swiss Swiss Swiss,() (Male) (Male),Architecture & Design,2005
95227,Brice Marden,American,Male,Painting & Sculpture,2005
95259,Brice Marden,American,Male,Painting & Sculpture,2005
95292,Brice Marden,American,Male,Painting & Sculpture,2005
95333,Tomma Abts,German,Female,Drawings,2005
95334,Tomma Abts,German,Female,Drawings,2005
95335,Vito Acconci,American,Male,Drawings,2005
95336,Franz Ackermann,German,Male,Drawings,2005
95337,Franz Ackermann,German,Male,Drawings,2005
95338,Franz Ackermann,German,Male,Drawings,2005
95339,Scoli Acosta,American,Male,Drawings,2005
95340,Scoli Acosta,American,Male,Drawings,2005
95341,Lucas Ajemian,American,Male,Drawings,2005
95342,Lucas Ajemian,American,Male,Drawings,2005
95343,Francis Alÿs,Belgian,Male,Drawings,2005
95344,Francis Alÿs,Belgian,Male,Drawings,2005
95345,Francis Alÿs,Belgian,Male,Drawings,2005
95346,Francis Alÿs,Belgian,Male,Drawings,2005
95347,Francis Alÿs,Belgian,Male,Drawings,2005
95348,Ricci Albenda,American,Male,Drawings,2005
95349,Ricci Albenda,American,Male,Drawings,2005
95350,Ricci Albenda,American,Male,Drawings,2005
95351,Laylah Ali,American,Female,Drawings,2005
